ymdhm,pred_wl_jamsu
2023-01-01 00:00:00,258.80603916697515
2023-01-01 00:10:00,258.77312341110496
2023-01-01 00:20:00,258.71173932779595
2023-01-01 00:30:00,258.7312880013171
2023-01-01 00:40:00,258.7223163387387
2023-01-01 00:50:00,258.7206458440777
2023-01-01 01:00:00,257.48310348294115
2023-01-01 01:10:00,257.4101677344922
2023-01-01 01:20:00,257.4101677344922
2023-01-01 01:30:00,257.53180991681126
2023-01-01 01:40:00,257.4198238365895
2023-01-01 01:50:00,257.53180991681126
2023-01-01 02:00:00,257.42971640801335
2023-01-01 02:10:00,257.4582902210723
2023-01-01 02:20:00,257.46641367693746
2023-01-01 02:30:00,257.48596235045864
2023-01-01 02:40:00,257.4787527895455
2023-01-01 02:50:00,258.35912401370916
2023-01-01 03:00:00,258.4244172608205
2023-01-01 03:10:00,258.4337606067973
2023-01-01 03:20:00,258.4981406034993
2023-01-01 03:30:00,257.61439470433635
2023-01-01 03:40:00,258.5274535050597
2023-01-01 03:50:00,258.4981406034993
2023-01-01 04:00:00,258.4981406034993
2023-01-01 04:10:00,258.4981406034993
2023-01-01 04:20:00,258.4252443098773
2023-01-01 04:30:00,258.38544729203727
2023-01-01 04:40:00,258.38544729203727
2023-01-01 04:50:00,258.26658625691664
2023-01-01 05:00:00,258.2584821702787
2023-01-01 05:10:00,258.40575166707976
2023-01-01 05:20:00,258.3564810195631
2023-01-01 05:30:00,258.4026448103642
2023-01-01 05:40:00,257.4993502376801
2023-01-01 05:50:00,257.40858345839695
2023-01-01 06:00:00,257.502289368652
2023-01-01 06:10:00,257.4001012287289
2023-01-01 06:20:00,257.4605150319567
2023-01-01 06:30:00,258.3461600750579
2023-01-01 06:40:00,258.4388511098698
2023-01-01 06:50:00,257.5609636973658
2023-01-01 07:00:00,257.4663735186156
2023-01-01 07:10:00,257.4338999146767
2023-01-01 07:20:00,257.43258052453945
2023-01-01 07:30:00,257.502289368652
2023-01-01 07:40:00,257.4130318510183
2023-01-01 07:50:00,257.4605150319567
2023-01-01 08:00:00,258.3896368899216
2023-01-01 08:10:00,257.5609636973658
2023-01-01 08:20:00,257.4663735186156
2023-01-01 08:30:00,257.4663735186156
2023-01-01 08:40:00,257.502289368652
2023-01-01 08:50:00,257.4605150319567
2023-01-01 09:00:00,257.4663735186156
2023-01-01 09:10:00,258.3700882164004
2023-01-01 09:20:00,257.5609636973658
2023-01-01 09:30:00,257.4663735186156
2023-01-01 09:40:00,257.4663735186156
2023-01-01 09:50:00,257.4859221921368
2023-01-01 10:00:00,257.4663735186156
2023-01-01 10:10:00,257.56650833163457
2023-01-01 10:20:00,257.56650833163457
2023-01-01 10:30:00,257.6650329709688
2023-01-01 10:40:00,258.3700882164004
2023-01-01 10:50:00,257.55510521070687
2023-01-01 11:00:00,257.4001012287289
2023-01-01 11:10:00,257.37923316507045
2023-01-01 11:20:00,257.4001012287289
2023-01-01 11:30:00,257.34816965516916
2023-01-01 11:40:00,257.38126558326576
2023-01-01 11:50:00,257.4887508194376
2023-01-01 12:00:00,257.3919748907366
2023-01-01 12:10:00,258.307693098474
2023-01-01 12:20:00,258.3247584440663
2023-01-01 12:30:00,257.6220171906033
2023-01-01 12:40:00,258.3645684942687
2023-01-01 12:50:00,257.6220171906033
2023-01-01 13:00:00,258.35519873288
2023-01-01 13:10:00,257.51318248428953
2023-01-01 13:20:00,257.41859230553933
2023-01-01 13:30:00,257.40233479541746
2023-01-01 13:40:00,257.3821426692143
2023-01-01 13:50:00,257.3821426692143
2023-01-01 14:00:00,257.3821426692143
2023-01-01 14:10:00,257.3940934763886
2023-01-01 14:20:00,257.3940934763886
2023-01-01 14:30:00,258.340069665118
2023-01-01 14:40:00,258.44048207124894
2023-01-01 14:50:00,258.5470059788941
2023-01-01 15:00:00,258.46079333715835
2023-01-01 15:10:00,258.5470059788941
2023-01-01 15:20:00,258.59169808847423
2023-01-01 15:30:00,258.42149214128784
2023-01-01 15:40:00,259.29701158569117
2023-01-01 15:50:00,259.2365487274337
2023-01-01 16:00:00,259.2528062375556
2023-01-01 16:10:00,260.0297412385682
2023-01-01 16:20:00,259.44753122932474
2023-01-01 16:30:00,259.33901887929136
2023-01-01 16:40:00,258.52421289238373
2023-01-01 16:50:00,258.39692838345246
2023-01-01 17:00:00,258.5318152224634
2023-01-01 17:10:00,259.3847910430649
2023-01-01 17:20:00,258.37882525074065
2023-01-01 17:30:00,258.266864417948
2023-01-01 17:40:00,258.3627085178944
2023-01-01 17:50:00,258.4464513447824
2023-01-01 18:00:00,259.45059160348643
2023-01-01 18:10:00,259.5201301137372
2023-01-01 18:20:00,259.32155925225857
2023-01-01 18:30:00,259.32155925225857
2023-01-01 18:40:00,257.5491182723677
2023-01-01 18:50:00,258.39141796842296
2023-01-01 19:00:00,259.3992252091238
2023-01-01 19:10:00,258.63129278080123
2023-01-01 19:20:00,258.6296222861402
2023-01-01 19:30:00,258.54892595957654
2023-01-01 19:40:00,258.55956969045394
2023-01-01 19:50:00,258.58982767144596
2023-01-01 20:00:00,258.58982767144596
2023-01-01 20:10:00,258.58982767144596
2023-01-01 20:20:00,258.55956969045394
2023-01-01 20:30:00,258.6183428010485
2023-01-01 20:40:00,259.3992252091238
2023-01-01 20:50:00,258.56755341392903
2023-01-01 21:00:00,258.5075642571522
2023-01-01 21:10:00,258.48669619349374
2023-01-01 21:20:00,258.5075642571522
2023-01-01 21:30:00,258.6076990701711
2023-01-01 21:40:00,258.48669619349374
2023-01-01 21:50:00,258.55956969045394
